English ,Oshiwambo ,Aa-ndonga ,Aa-kwambi ,Aa-mbalanhu ,Aa-kwaluudhi ,Aa-kwanyama,Aa-ngandjera,Aa-mbandja
me,Ame,Ngame,Ngaye,Aame,Amee,Ame,Ngaye,Ame
you(single),Ove,Ngoye,Ngwee,Oye,Oye,Ove,Ngwee,ove
she/he,ye,Ye,Ye,Ye,Ye,Ye,Ye,ye/yeeye
us,Fyee,Tse,Se,Se,Se,Fye,Tse,she/sheeshe
you(prural),Amushe ,Ne,Ne amushe,Nye,Amuhe,Nye,Ne,nye/nyeenye
they,Voo,Yo,yo,Yo,Yoo,Vo,Yo,vo/voovo
mom,Meme,Meme,Meme,meme,meme,Meme,Meme,meme
father,Tate,Tate ,Tate,tate,tate,Tate,Tate,Tate
sister,Omwaina kadona ,Omumwaamemekadhona,Omwamemekadhona,Omumwamemekavona,Omumwamemekadhona,Mumwamemekadhona,Omwamemekadhona,Om'mwameme-kadona
brother,Omwaina mati ,Omumwaamememati,Omwaamememati,Omumwamememati,Omumwamemekadhona,Mumwamememati,Omwamememati,om'mwameme-mati
siblings,Umweinafana,Aamwayinathana,Aamwahinathana,Aamwayinafana,Aamwayinathana,Aamwainafana,Amwainathana,aamwaina
cousins,Onhu adala kumweina wameme or Tate woye ,Omumwaameme,Ontu avalwa komahinagwahina nenge komahinagwashe,omwameme,Aamwayinathana,Mumwameme,Aakwetu/akwawo,m'mwameme
grandfather,Tatekulu ,Kuku-gosane,Tatekulu,tatekulu,Tatekulu,Tatekulu,Tate/Tatekulu,Tatekulu
Nephew,Okatekulu kokamati ,okamwanamatigona,Okatekulu kokamati,omutekulu gwomumati,Omwanamatigona,Mutekulu-mati,Omutekulumati/omwandje,Om'tekulu
niece,Okatekulu kokakadona,okamwanakadhonagona,okatekulu kokakadhona,omutekulu womukavona,omwanakadhonagona,Mutekulu-kadhona,Omutekulukadhona/omwandje,om'tekulu
father in law,Tate mweno ,tatemweno,Tatemweno,tatemweno,Tatemweno,Tatemweno,Tatemwenyo,tatemweno
friends,Oofelende,Okuume,Ookuumekandje,Ookaume,Ookuume,Oo-kaume,Ookuume,ookaumhe
mother in law,Mee mweno,Mweemeno,Meemweno,meemweno,Meemweno,Mememweno,Meemwenyo,meemweno
good/fine,Nawa,Nawa,Nawa,Nawa,Nawa,Nawa,Onawa,Onawa
morning,Ongula,Ongulonene,Ongula,Ongula,Ongula,Ongula,Ongula,Ongula
during the day,Okuhala ,Omuuhalo,Omutenya,Ontenya,Omutenya,Omutenya,Omutenya,Omutenya
late in the afternoon,Komatango ,Komatango,Komatango,Komatango,Komatango,Komatango,Komatango,Komatango
evening,Onguloshi,Ongulohi,Onguloshi,Ongulohi,Onguloshi,Onguloshi,Onguloshi,Ongulohi
night,Uufiku,Uusiku,Uusiku,Uusiku,Uusiku,Oufiku,Uusiku,oufiku
good morning,Walelepo ,Wa lala po? ,Wa lala po,wanangalapo,Wa lala po?,Wa lele po?,Wa lala po?,Wa lele po?
good afternoon,Wauhalapo ,Wu uhala po,Wu uhala po,wau hala po,Wu uhala po?,Wa uhala po?,Wu uhala po?,Wa uhala po?
good evening,Watokelwapo ,Wa tokelwa po? ,Wa tokelwa po,Wa tokelwa po,Wa tokwelwa po ?,Wa tokelwa po?,Wa tokwelwa po ?,wa tokelwa po?
 how are you,Ngeipi ,Oshi li ngiini,Ongiini,Oshili ngeepi,Ongiini?,Ongaipi ,Ongiini?,Ongaali?
good bye / walk well,Endapo nawa ,Enda po nawa,Enda po nawa,Ondjila nai kale nawa,Enda po nawa,Enda po nawa,Enda po nawa,wa tokelwa po?
stay well/ good bye,Kalapo nawa ,Kala po nawa,Kala po nawa,kala po nawa,Kala po nawa,Kala po nawa,Kala po nawa,Kala po nawa
good night,Ka nangalepo nawa ,Lala po nawa,kalalepo nawa,wau hwala po,Ka lale po nawa,Ka nangale po nawa,Ka lale po nawa,Nangala po nawa
good night,Nangalapo nawa ,Ka lale po nawa,Lalapo nawa,kana ngale po nawa,Lala po nawa,Nangala po nawa,Lala po nawa,Tokelwa po nawa
yes,eeno,Eeno ,Eee,Eee,"Eee, Ee",Ehee / Ee / Heeno,"Eee, Ee",Ee. Eee
no,Ahawe ,Aawe,"Aaye, Ahawe",Aayee,"Ahawe, aaye",Ahowe / Aaye,"Ahawe, aaye",Aaye
yes,Eewa ,Eewa,Eewa,Oshi li nawa,Eewa,Eewa,Eewa,Eewa
I am hungry,Onda fya ondjala ,Onda sa ondjala. ,Onda sa ondjala,Onda sa ondjala,Ondasa ondjala,Onda fya ondjala./,Ondasa ondjala,Onda sha ondjala
thirsty,Onda fya enota ,Onda sa enota,Onda se nota,Onda sa onota,Ondasa enota,Onda fya enota.,Ondasa enota,Onda sha enhota
I amfull,Onda kuta ,Onda kuta,Onda Kuta,Onda kuta,Onda kuta,Onda kuta.,Onda kuta,Onda kuta
I am finished,Onda pwapo ,Onda mana. ,Onda mana,Onda mana,Ondamana,Onda mana,Ondamana,Onda mana
I am tired and want to sleep,"Onda loloka,nda hala ku nangala ","Onda vulwa, Onda hala oku lala",Ondaloloka ondala ndikakothe,"Onda vulwa, onda hala okukofa","Ondavulwa, ondahala okukavululukwapo","Onda loloka, onda hala okukofa.","Ondavulwa, ondahala okukavululukwapo","Onda loloka, Onda hala oku fudapo. "
where is water,Openi pena omeva?,Omeya oge li peni? ,Omeya ogelipeni,Omeya oyeli peni,Omeya ogeli peni,Omeva oku li peni?,Omeya ogeli peni,Omeya okuli peni? 
I don’t eat meat,Iha ndili ombelela ,Iha ndi li onyama ngame,Iha ndili Onyama,Iha ndili ombelela ame,Ihandili onyama,Ihandi li ombelela.,Ihandili onyama,Ihai li ombelela.
I don’t understand,Nghuuditeko ,Kandi ku uvite,Kandi kuuvite,Kandi ku uvite,Kandi uviteko,Kandi udite ko,Kandi uviteko,Kandi udite ko
